"","traits"
"1","celiac disease"
"2","endometriosis"
"3","malaria"
"4","lung carcinoma"
"5","MHPG measurement"
"6","thyroxine measurement"
"7","antioxidant measurement"
"8","arm span"
"9","CCL5 measurement"
"10","energy expenditure"
"11","fatty acid measurement"
"12","folic acid measurement"
"13","gestational age"
"14","head circumference"
"15","IGFBP-1 measurement"
"16","metabolic rate measurement"
"17","urinary metabolite measurement"
"18","amino acid measurement"
"19","body composition measurement"
"20","energy intake"
"21","physical activity"
"22","response to perphenazine"
"23","cardiac troponin T measurement"
"24","cataract"
"25","cognitive decline"
"26","hypertrophic cardiomyopathy"
"27","lean body mass"
"28","lipoprotein measurement"
"29","otitis media"
"30","pancreatitis"
"31","platelet reactivity measurement"
"32","response to methotrexate"
"33","response to tamsulosin"
"34","response to temozolomide"
"35","serum IgM measurement"
"36","visceral Leishmaniasis"
"37","response to opiate"
"38","erythrocyte measurement"
"39","response to quetiapine"
"40","response to risperidone"
"41","response to ziprasidone"
"42","suicidal ideation"
"43","von Willebrand factor measurement"
"44","Sneeze"
"45","braces"
"46","left atrial function"
"47","left ventricular function"
"48","thyroid function"
"49","cardiovascular measurement"
"50","longevity"
"51","blood viscosity"
"52","anthropometric measurement"
"53","blood sedimentation"
"54","erythrocyte count"
"55","erythrocyte indices"
"56","cortisol measurement"
"57","response to dietary antigen"
"58","hemoglobin A2 measurement"
"59","cryoglobulinemia"
"60","serum lipase activity measurement"
"61","emphysema pattern measurement"
"62","height-adjusted body mass index"
"63","Heschl's gyrus morphology measurement"
"64","pneumoconiosis"
"65","response to silica exposure"
"66","allergic rhinitis"
"67","osteoarthritis biomarker measurement"
"68","sensory perception of sound"
"69","visual perception"
"70","ossification of the posterior longitudinal ligament of the spine"
"71","generalised epilepsy"
"72","osteoprotegerin measurement"
"73","recombination measurement"
"74","FEV change measurement"
"75","esophageal squamous cell carcinoma"
"76","binge eating"
"77","overweight body mass index status"
"78","underweight body mass index status"
"79","longitudinal BMI measurement"
"80","congenital left-sided heart lesions"
"81","parental genotype effect measurement"
"82","psychotic symptoms"
"83","mammographic density measurement"
"84","chemotherapy-induced hypertension"
"85","response to bevacizumab"
"86","cumulative dose response to bevacizumab"
"87","reading"
"88","Vogt-Koyanagi-Harada disease"
"89","antinuclear antibody measurement"
"90","sum of skinfolds"
"91","neonate"
"92","plasma plasminogen measurement"
"93","family size"
"94","hypospadias"
"95","Myopia"
"96","age-related cataract"
"97","mitochondrial DNA measurement"
"98","response to high-dose melphalan"
"99","thiopurine immunosuppressant-induced pancreatitis"
"100","infant expressive language ability"
"101","response to thiopurine"
"102","HIV viral set point measurement"
"103","susceptibility to viral and mycobacterial infections"
"104","antidepressant-induced side effect"
"105","antidepressant-induced dizziness"
"106","antidepressant-induced sexual dysfunction"
"107","antidepressant-induced visual impairment"
"108","antidepressant-induced hearing impairment"
"109","response to bupropion"
"110","response to buspirone"
"111","response to citalopram"
"112","response to sertraline"
"113","response to venlafaxine"
"114","selenium measurement"
"115","serum iron measurement"
"116","transferrin saturation measurement"
"117","total iron binding capacity"
"118","systolic blood pressure"
"119","diastolic blood pressure"
"120","response to allopurinol"
"121","smooth surface dental caries"
"122","mean arterial pressure"
"123","transferrin measurement"
"124","inflammatory marker measurement"
"125","chronic bronchitis"
"126","gastritis"
"127","medication adherence behavior"
"128","response to phenytoin"
"129","severe cutaneous adverse reaction"
"130","pulmonary artery enlargement"
"131","laryngeal squamous cell carcinoma"
"132","carotid plaque build"
"133","mammographic density percentage"
"134","dense area measurement"
"135","non-dense area measurement"
"136","hepatic lipid content measurement"
"137","angiographic measurement"
"138","Kashin-Beck disease"
"139","Herpes Zoster"
"140","cotinine glucuronidation measurement"
"141","nicotine glucuronidation measurement"
"142","hereditary hemochromatosis"
"143","Alzheimer's disease biomarker measurement"
"144","angiotensin-converting enzyme measurement"
"145","superior frontal gyrus grey matter volume measurement"
"146","interferon alpha measurement"
"147","response to losartan"
"148","MMR-related febrile seizures"
"149","febrile seizures"
"150","hypokalemia"
"151","carbon monoxide exhalation measurement"
"152","calcium intake measurement"
"153","L-arginine measurement"
"154","asymmetrical dimethylarginine measurement"
"155","symmetrical dimethylarginine measurement"
"156","cigarettes per day measurement"
"157","pack-years measurement"
"158","smoking status measurement"
"159","drug-induced agranulocytosis"
"160","coffee consumption measurement"
"161","cups of coffee per day measurement"
"162","psychosocial stress measurement"
"163","body height at birth"
"164","infant body height"
"165","anxiety disorder"
"166","typhoid fever"
"167","vascular brain injury"
"168","Lewy body dementia"
"169","cerebrospinal fluid biomarker measurement"
"170","left inferior lateral ventricle volume measurement"
"171","serum VEGFR2 concentration measurement"
"172","neurofibrillary tangles measurement"
"173","neuritic plaque measurement"
"174","vascular brain injury measurement"
"175","Alzheimer's disease neuropathologic change"
"176","senile plaques"
"177","response to red blood cell transfusion"
"178","alloimmunization"
"179","word list delayed recall measurement"
"180","paragraph delayed recall measurement"
"181","docosapentaenoic acid measurement"
"182","oleic acid measurement"
"183","arachidonic acid measurement"
"184","linoleic acid measurement"
"185","glucose tolerance test"
"186","leukocyte count"
"187","platelet count"
"188","partial thromboplastin time"
"189","heart function measurement"
"190","vital capacity"
"191","forced expiratory volume"
"192","drinking behavior"
"193","smoking behavior"
"194","smoking cessation"
"195","lentiform nucleus measurement"
"196","attempted suicide"
"197","mental process"
"198","blood pressure"
"199","heart rate"
"200","electrocardiography"
"201","exercise test"
"202","alcohol drinking"
"203","coffee consumption"
"204","tooth eruption"
"205","episodic memory"
"206","short-term memory"
"207","speech perception"
"208","intelligence"
"209","body weight"
"210","bulimia nervosa"
"211","cervical carcinoma"
"212","response to dabigatran etexilate"
"213","aspirin hydrolysis measurement"
"214","brain connectivity measurement"
"215","response to carboplatin"
"216","glomerular filtration rate"
"217","oligoclonal band measurement"
"218","body height"
"219","body mass index"
"220","body fat distribution"
"221","waist circumference"
"222","waist-hip ratio"
"223","birth weight"
"224","corneal topography"
"225","neuroimaging measurement"
"226","hematocrit"
"227","reasoning"
"228","resting heart rate"
"229","mortality"
"230","circadian rhythm"
"231","sensory perception of taste"
"232","electroencephalogram measurement"
"233","event-related brain oscillation"
"234","psychomotor performance"
"235","information processing speed"
"236","personality trait"
"237","c-reactive protein measurement"
"238","ferritin measurement"
"239","soluble transferrin receptor measurement"
"240","iron biomarker measurement"
"241","PR interval"
"242","angiotensin converting enzyme activity measurement"
"243","brain measurement"
"244","fasting blood glucose measurement"
"245","fasting blood insulin measurement"
"246","insulin measurement"
"247","glucose measurement"
"248","adiponectin measurement"
"249","hematological measurement"
"250","serum hepcidin measurement"
"251","telomere length"
"252","monocyte early outgrowth colony forming unit"
"253","D dimer measurement"
"254","spine bone size"
"255","hemoglobin measurement"
"256","hpv seropositivity"
"257","femoral neck bone geometry"
"258","bone measurement"
"259","bone fracture related measurement"
"260","arterial stiffness measurement"
"261","serum creatinine measurement"
"262","soluble p-selectin measurement"
"263","icam-1 measurement"
"264","sensory perception of bitter taste"
"265","mean corpuscular volume"
"266","mean corpuscular hemoglobin"
"267","lipid measurement"
"268","triglyceride measurement"
"269","urate measurement"
"270","serum gamma-glutamyl transferase measurement"
"271","alkaline phosphatase measurement"
"272","creatine kinase measurement"
"273","serum albumin measurement"
"274","neonatal systemic lupus erthematosus"
"275","chronic fatigue syndrome"
"276","a1c measurement"
"277","brain serotonin transporter measurement"
"278","bilirubin measurement"
"279","butyrylcholinesterase measurement"
"280","C4BP measurement"
"281","chemerin measurement"
"282","total cholesterol measurement"
"283","e-selectin measurement"
"284","fetal hemoglobin measurement"
"285","infant head circumference"
"286","homocysteine measurement"
"287","serum IgE measurement"
"288","interleukin 18 measurement"
"289","liver enzyme measurement"
"290","serum alanine aminotransferase measurement"
"291","mean platelet volume"
"292","naphthyl-keratin adduct measurement"
"293","lymphocyte count"
"294","brachial circumference"
"295","childhood onset asthma"
"296","gestational diabetes"
"297","eosinophilic esophagitis"
"298","hiv mother to child transmission"
"299","diabetes mellitus type 2 associated cataract"
"300","acute graft vs. host disease"
"301","gallbladder neoplasm"
"302","duodenal ulcer"
"303","acute lung injury"
"304","low density lipoprotein cholesterol measurement"
"305","high density lipoprotein cholesterol measurement"
"306","apolipoprotein a 1 measurement"
"307","osteoarthritis of the knee"
"308","cystatin c measurement"
"309","vitamin K measurement"
"310","factor VII measurement"
"311","vitamin B12 measurement"
"312","vitamin B6 measurement"
"313","sphingolipid measurement"
"314","fibrinogen measurement"
"315","prostate specific antigen measurement"
"316","progranulin measurement"
"317","igfbp-3 measurement"
"318","vitamin D measurement"
"319","nevus count"
"320","protein c measurement"
"321","coagulation factor measurement"
"322","leptin receptor measurement"
"323","phospholipid measurement"
"324","haptoglobin measurement"
"325","white matter integrity"
"326","cortisol secretion measurement"
"327","TPE interval measurement"
"328","response to vaccine"
"329","response to platinum based chemotherapy"
"330","response to ximelagatran"
"331","response to tnf antagonist"
"332","biological variation design"
"333","beta-amyloid 1-42 measurement"
"334","QT interval"
"335","tumor necrosis factor-alpha measurement"
"336","hip geometry"
"337","testosterone measurement"
"338","dihydrotestosterone measurement"
"339","familial hypercholesterolemia"
"340","serum IgA measurement"
"341","facial neural processing"
"342","vaspin measurement"
"343","Barrett's esophagus"
"344","post-traumatic stress disorder"
"345","squamous cell carcinoma"
"346","hepatitis C infection"
"347","neuropathy"
"348","blood urea nitrogen measurement"
"349","response to paclitaxel"
"350","temperament and character inventory"
"351","response to vitamin"
"352","sex hormone-binding globulin measurement"
"353","metamphetamine dependence"
"354","age at menopause"
"355","hypothyroidism"
"356","infantile hypertrophic pyloric stenosis"
"357","nodular sclerosis Hodgkin lymphoma"
"358","FEV/FEC ratio"
"359","sexual dysfunction"
"360","mri defined brain infarct"
"361","vasuclar dementia"
"362","prion disease"
"363","coronary artery calcification"
"364","carotid-femoral pulse wave velocity"
"365","metabolite measurement"
"366","hormone measurement"
"367","eye measurement"
"368","anti-cyclic citrullinated peptide antibody measurement"
"369","carotenoid measurement"
"370","tocopherol measurement"
"371","circulating cell free dna measurement"
"372","facial morphology"
"373","carbohydrate measurement"
"374","lysine measurement"
"375","N-glycan measurement"
"376","leptin measurement"
"377","matrix metalloproteinase measurement"
"378","nt-probnp measurement"
"379","lipoprotein-associated phospholipase a(2) measurement"
"380","protein measurement"
"381","CCL2 measurement"
"382","t-tau measurement"
"383","uric acid measurement"
"384","vascular endothelial growth factor measurement"
"385","p-tau measurement"
"386","adipose tissue measurement"
"387","ovarian reserve"
"388","visual cortical surface area measurement"
"389","early onset hypertension"
"390","toxic epidermal necrolysis"
"391","alcohol and nicotine codependence"
"392","alcohol withdrawal"
"393","self rated health"
"394","chaos measure"
"395","behavior or behavioral disorder measurement"
"396","self reported educational attainment"
"397","south texas assessment of neurocognition"
"398","atrial natriuretic factor measurement"
"399","CD40 ligand measurement"
"400","tissue plasminogen activator measurement"
"401","plasminogen activator inhibitor 1 measurement"
"402","response to fenofibrate"
"403","skin sensitivity to sun"
"404","copy number variation"
"405","type ii diabetes mellitus"
"406","age-related macular degeneration"
"407","multiple myeloma"
"408","cirrhosis of liver"
"409","coronary heart disease"
"410","prostate carcinoma"
"411","cardiac hypertrophy"
"412","osteoarthritis"
"413","parkinson's disease"
"414","aids dementia"
"415","chronic childhood arthritis"
"416","insulin resistance"
"417","pancreatic carcinoma"
"418","peripartum cardiomyopathy"
"419","atopy"
"420","systemic lupus erythematosus"
"421","thyroid carcinoma"
"422","esophageal carcinoma"
"423","non-small cell lung carcinoma"
"424","kidney disease"
"425","non-alcoholic fatty liver disease"
"426","pick disease"
"427","peripheral neuropathy"
"428","essential tremor"
"429","heart failure"
"430","ankle brachial index"
"431","asperger syndrome"
"432","autism"
"433","unipolar depression"
"434","vitamin D deficiency"
"435","inflammatory bowel disease"
"436","nicotine dependence"
"437","diabetic retinopathy"
"438","visceral adipose tissue measurement"
"439","psoriatic arthritis"
"440","Behcet's disease"
"441","carotid artery disease"
"442","skin pigmentation"
"443","dental caries"
"444","migraine disorder"
"445","alcohol dependence"
"446","inflammatory response"
"447","pain"
"448","kidney stone"
"449","mental retardation"
"450","rhabdomyolysis"
"451","mouth neoplasm"
"452","surfactant protein D measurement"
"453","brain aneurysm"
"454","osteoporosis"
"455","chronic kidney disease"
"456","multiple sclerosis"
"457","attention deficit hyperactivity disorder"
"458","functional laterality"
"459","drug dependence"
"460","pulmonary function measurement"
"461","stomach neoplasm"
"462","ankylosing spondylitis"
"463","Abnormality of refraction"
"464","atherosclerosis"
"465","bone density"
"466","hair color"
"467","neuropsychological test"
"468","Fuchs endothelial corneal dystrophy"
"469","personality"
"470","eye color"
"471","seasonal allergic rhinitis"
"472","sunburn"
"473","cleft lip"
"474","freckles"
"475","open-angle glaucoma"
"476","androgenetic alopecia"
"477","alopecia areata"
"478","basal cell carcinoma"
"479","IgA glomerulonephritis"
"480","hepatitis B infection"
"481","pathological myopia"
"482","vitiligo"
"483","gallstones"
"484","hypertriglyceridemia"
"485","keloid"
"486","otosclerosis"
"487","abdominal aortic aneurysm"
"488","anorexia nervosa"
"489","conduct disorder"
"490","chronic hepatitis C infection"
"491","Attached earlobe"
"492","astigmatism"
"493","coronary restenosis"
"494","coronary vasospasm"
"495","creutzfeldt jacob disease"
"496","dengue hemorrhagic fever"
"497","drug-induced liver injury"
"498","dupuytren contracture"
"499","endometrial neoplasm"
"500","erectile dysfunction"
"501","exfoliation syndrome"
"502","focal segmental glomerulosclerosis"
"503","hearing loss"
"504","heroin dependence"
"505","obsessive-compulsive disorder"
"506","carcinoid tumor"
"507","response to antimicrotubule agent"
"508","response to doxorubicin"
"509","response to epirubicin"
"510","response to etoposide"
"511","dermatomyositis"
"512","Esophageal adenocarcinoma"
"513","cocaine dependence"
"514","follicle stimulating hormone measurement"
"515","orthostatic hypotension"
"516","sex ratio"
"517","perception of facial expression"
"518","anti-neutrophil antibody associated vasculitis"
"519","economic and social preference"
"520","response to irinotecan"
"521","RR interval"
"522","optic disc size measurement"
"523","neutrophil count"
"524","nitric oxide exhalation measurement"
"525","triple-negative breast cancer"
"526","thrombin generation potential measurement"
"527","cholelithiasis"
"528","frontal theta oscillation measurement"
"529","response to candesartan"
"530","male fertility"
"531","formal thought disorder"
"532","asbestos exposure measurement"
"533","short sleep"
"534","l lactate dehydrogenase measurement"
"535","fructose-bisphosphate aldolase measurement"
"536","interleukin-6 measurement"
"537","interleukin-8 measurement"
"538","interstitial lung disease"
"539","mucocutaneous lymph node syndrome"
"540","mood disorder"
"541","migraine with aura"
"542","chronic hepatitis B infection"
"543","Wegener's granulomatosis"
"544","allergy"
"545","non-word reading"
"546","allergic sensitization measurement"
"547","axial length measurement"
"548","contact dermatitis due to nickel"
"549","molar-incisor hypomineralization"
"550","callous-unemotional behaviour"
"551","Post-operative sensory disturbance"
"552","mesothelioma"
"553","response to angiotensin-converting enzyme inhibitor"
"554","B-cell acute lymphoblastic leukemia"
"555","invasive lobular carcinoma"
"556","acne"
"557","spinal fracture"
"558","maximal midexpiratory flow rate"
"559","torsades de pointes"
"560","response to high sodium diet"
"561","response to low sodium diet"
"562","response to dietary potassium supplementation"
"563","response to cold pressor test"
"564","response to antihypertensive drug"
"565","psychosis"
"566","pyroglutamine measurement"
"567","fat body mass"
"568","tooth agenesis"
"569","schizoaffective disorder"
"570","joint damage measurement"
"571","airway hyperresponsiveness"
"572","serum alpha-1-antitrypsin measurement"
"573","serum ST2 measurement"
"574","response to mTOR inhibitor"
"575","contrast sensitivity measurement"
"576","grey matter volume measurement"
"577","serum homoarginine measurement"
"578","skin aging"
"579","adolescent idiopathic scoliosis"
"580","dyslexia"
"581","language impairment"
"582","social communication impairment"
"583","borderline personality disorder symptom"
"584","nicotine use"
"585","illegal drug consumption"
"586","non-substance related disinhibited behaviour"
"587","Mesial temporal lobe epilepsy with hippocampal sclerosis"
"588","interleukin-1 beta measurement"
"589","alpha globulin measurement"
"590","obesity"
"591","ovarian carcinoma"
"592","sporadic amyotrophic lateral sclerosis"
"593","type i diabetes mellitus"
"594","neuromyelitis optica"
"595","neurotic disorder"
"596","osteonecrosis"
"597","osteitis deformans"
"598","panic disorder"
"599","partial epilepsy"
"600","peripheral arterial disease"
"601","primary ovarian insufficiency"
"602","biliary liver cirrhosis"
"603","sclerosing cholangitis"
"604","cardiac arrhythmia"
"605","restless legs syndrome"
"606","anemia"
"607","scoliosis"
"608","gout"
"609","Stevens-Johnson syndrome"
"610","sudden cardiac arrest"
"611","suntan"
"612","response to morphine"
"613","serum carcinoembryonic antigen measurement"
"614","lupus nephritis"
"615","neuropathic pain"
"616","pulse pressure measurement"
"617","response to haloperidol"
"618","skin fluorescence measurement"
"619","rheumatoid factor measurement"
"620","response to rate control therapy"
"621","movement disorder"
"622","testicular carcinoma"
"623","thoracic aortic aneurysm"
"624","upper aerodigestive tract neoplasm"
"625","albuminuria"
"626","venous thromboembolism"
"627","ventricular fibrillation"
"628","complement C3 measurement"
"629","complement C4 measurement"
"630","lumbar disc degeneration"
"631","total blood protein measurement"
"632","type 1 diabetes nephropathy"
"633","hippocampal volume"
"634","platelet measurement"
"635","aortic root size"
"636","hair morphology"
"637","hippocampal atrophy"
"638","survival time"
"639","insulin sensitivity measurement"
"640","CCL11 measurement"
"641","serum ceruloplasmin measurement"
"642","C-peptide measurement"
"643","respiratory quotient"
"644","urinary nitrogen measurement"
"645","waist height ratio"
"646","age at death"
"647","interleukin 10 measurement"
"648","interleukin 12 measurement"
"649","interleukin 1 receptor antagonist measurement"
"650","CCL4 measurement"
"651","parathyroid hormone measurement"
"652","myoglobin measurement"
"653","tyrosine measurement"
"654","acylcarnitine measurement"
"655","CC16 measurement"
"656","entorhinal cortical volume"
"657","hip circumference"
"658","monocyte count"
"659","P wave duration"
"660","PR segment"
"661","whole-brain volume"
"662","type 2 diabetes nephropathy"
"663","factor VIII measurement"
"664","HOMA-B"
"665","HOMA-IR"
"666","IgF-1 measurement"
"667","protein S measurement"
"668","response to clozapine"
"669","response to olanzapine"
"670","5-HIAA measurement"
"671","albumin:globulin ratio measurement"
"672","arylesterase enzyme measurement"
"673","cancer biomarker measurement"
"674","hepatitis C induced liver cirrhosis"
"675","HVA measurement"
"676","response to antimetabolite"
"677","DNA methylation"
"678","serum selenium measurement"
"679","serum copper measurement"
"680","serum zinc measurement"
"681","congenital heart malformation"
"682","sleep quality"
"683","sleep depth"
"684","sleep time"
"685","dihydroxy docosatrienoic acid measurement"
"686","Hydroxy-leucine measurement"
"687","temporomandibular joint disorder"
"688","sleep latency"
"689","word reading"
"690","anxiety"
"691","response to cisplatin"
"692","rhegmatogenous retinal detachment"
"693","employment status"
"694","methamphetamine-induced psychosis"
"695","myeloperoxidase measurement"
"696","gastric bypass"
"697","hypersomnia"
"698","anti-Heliobacter pylori serum IgG measurement"
"699","response to topoisomerase inhibitor"
"700","response to camptothecin"
"701","occupation-related stress disorder"
"702","response to cyclophosphamide"
"703","response to docetaxel"
"704","response to anthracycline-based chemotherapy"
"705","response to alcohol"
"706","ejection fraction measurement"
"707","parasitemia measurement"
"708","Chagas cardiomyopathy"
"709","urticaria"
"710","angioedema"
"711","response to non-steroidal anti-inflammatory"
"712","delayed encephalopathy after acute carbon monoxide poisoning"
"713","malignant epithelial tumor of ovary"
"714","meningioma"
"715","isolated scaphocephaly"
"716","bronchopulmonary dysplasia"
"717","thyrotoxic periodic paralysis"
"718","sickle cell anemia"
"719","granular corneal dystrophy type II"
"720","orofacial clefting syndrome"
"721","familial sick sinus syndrome"
"722","Li-Fraumeni syndrome"
"723","Moyamoya disease"
"724","response to anticoagulant"
"725","response to aromatase inhibitor"
"726","calcium measurement"
"727","CD4:CD8 lymphocyte ratio"
"728","cortical thickness"
"729","digit length ratio"
"730","eosinophil count"
"731","vitamin B measurement"
"732","hip bone size"
"733","magnesium measurement"
"734","serotonin measurement"
"735","age at onset"
"736","response to reverse transcriptase inhibitor"
"737","response to acetaminophen"
"738","response to platelet aggregation inhibitor"
"739","response to metformin"
"740","vitamin A measurement"
"741","response to ribavirin"
"742","abdominal aortic artery calcification"
"743","common carotid intimal medial thickness"
"744","phosphorus measurement"
"745","lymphoma"
"746","retinopathy"
"747","red blood cell distribution width"
"748","pulmonary hypertension"
"749","autism spectrum disorder"
"750","serum IgG glycosylation measurement"
"751","amyloid-beta measurement"
"752","antibody measurement"
"753","Epstein-Barr virus infection"
"754","cytomegalovirus infection"
"755","response to cholinesterase inhibitor"
"756","vasoactive peptide measurement"
"757","beta-2 microglobulin measurement"
"758","renal transplant outcome measurement"
